fid;ID;C2011_2012;LIB_2012.;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;SurfaceVeg
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;19120.5;0;482;Strasbourg;1;13;134;6;1124.939
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;12;0;482;Strasbourg;1;12;124;4;10.635
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;12;0;482;Strasbourg;1;12;124;4;2.958
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;6585.8;0;482;Strasbourg;1;13;134;6;2.559
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;6585.8;0;482;Strasbourg;1;13;134;6;82.702
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;6585.8;0;482;Strasbourg;1;13;134;6;117.565
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;1;0;10225200;0;482;Strasbourg;1;12;121;4;179.505
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;1;0;10225200;0;482;Strasbourg;1;12;121;4;9.114
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;43.5171;0;482;Strasbourg;1;13;132;6;45.115
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;52.0652;0;482;Strasbourg;1;13;132;6;52.337
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;1767.2;0;482;Strasbourg;1;13;134;6;654.798
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;41.0059;0;482;Strasbourg;1;13;132;6;38.32
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;41.7405;0;482;Strasbourg;1;13;132;6;42.764
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;19739.7;0;482;Strasbourg;1;13;134;6;99.404
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;19739.7;0;482;Strasbourg;1;13;134;6;481.596
145;31743;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7062.6691;0.7063;332.23;BD ORTHO 2011;75;7063;0;0;443.898;0;482;Strasbourg;1;13;134;6;193.094
